date,ave1,ave2,ave3,high1,high2,high3,low1,low2,low3
2017/2/1,3.2,8,1,7.5,8,1,-1.5,8,1
2017/2/2,4.0,8,1,8.5,8,1,0.3,8,1
2017/2/3,5.8,8,1,11.9,8,1,0.7,8,1
2017/2/4,6.6,8,1,14.2,8,1,0.3,8,1
2017/2/5,4.4,8,1,5.5,8,1,2.5,8,1
2017/2/6,6.2,8,1,10.4,8,1,2.5,8,1
2017/2/7,3.6,8,1,7.5,8,1,1.7,8,1
2017/2/8,4.4,8,1,9.4,8,1,-0.3,8,1
2017/2/9,3.2,8,1,4.5,8,1,1.9,8,1
2017/2/10,3.6,8,1,8.7,8,1,0.8,8,1
2017/2/11,1.1,8,1,4.3,8,1,-1.0,8,1
2017/2/12,2.8,8,1,8.3,8,1,-0.6,8,1
2017/2/13,3.4,8,1,10.2,8,1,-0.8,8,1
2017/2/14,3.3,8,1,8.4,8,1,-0.8,8,1
2017/2/15,4.7,8,1,11.0,8,1,-0.3,8,1
2017/2/16,6.8,8,1,13.8,8,1,-0.4,8,1
2017/2/17,7.1,8,1,9.1,8,1,4.6,8,1
2017/2/18,7.2,8,1,12.3,8,1,3.3,8,1
2017/2/19,5.7,8,1,10.8,8,1,1.7,8,1
2017/2/20,6.6,8,1,11.9,8,1,4.2,8,1
2017/2/21,3.7,8,1,7.5,8,1,1.3,8,1
2017/2/22,5.8,8,1,12.2,8,1,-0.5,8,1
2017/2/23,9.3,8,1,15.3,8,1,6.5,8,1
2017/2/24,5.7,8,1,10.1,8,1,2.7,8,1
2017/2/25,5.9,8,1,11.4,8,1,0.1,8,1
2017/2/26,7.0,8,1,13.5,8,1,1.9,8,1
2017/2/27,6.8,8,1,13.0,8,1,2.9,8,1
2017/2/28,6.7,8,1,13.1,8,1,1.2,8,1
